entity_id,unit_number,split,duration,event_observed,landmark_cycle,time_after_landmark,is_model_eligible,true_rul,true_event_time,total_cycles_available,has_full_window,mean_op_setting_1_first_30,slope_op_setting_1_first_30,mean_op_setting_2_first_30,slope_op_setting_2_first_30,mean_op_setting_3_first_30,slope_op_setting_3_first_30,mean_sensor_1_first_30,slope_sensor_1_first_30,mean_sensor_2_first_30,slope_sensor_2_first_30,mean_sensor_3_first_30,slope_sensor_3_first_30,mean_sensor_4_first_30,slope_sensor_4_first_30,mean_sensor_5_first_30,slope_sensor_5_first_30,mean_sensor_6_first_30,slope_sensor_6_first_30,mean_sensor_7_first_30,slope_sensor_7_first_30,mean_sensor_8_first_30,slope_sensor_8_first_30,mean_sensor_9_first_30,slope_sensor_9_first_30,mean_sensor_10_first_30,slope_sensor_10_first_30,mean_sensor_11_first_30,slope_sensor_11_first_30,mean_sensor_12_first_30,slope_sensor_12_first_30,mean_sensor_13_first_30,slope_sensor_13_first_30,mean_sensor_14_first_30,slope_sensor_14_first_30,mean_sensor_15_first_30,slope_sensor_15_first_30,mean_sensor_16_first_30,slope_sensor_16_first_30,mean_sensor_17_first_30,slope_sensor_17_first_30,mean_sensor_18_first_30,slope_sensor_18_first_30,mean_sensor_19_first_30,slope_sensor_19_first_30,mean_sensor_20_first_30,slope_sensor_20_first_30,mean_sensor_21_first_30,slope_sensor_21_first_30,risk_group
train_1,1,train,192,1,30,162,True,,,192,True,-0.0005533333333333,3.2480533926585095e-05,6.666666666666668e-06,1.690767519466069e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.3283333333333,0.0057241379310354,1587.5583333333332,0.0785472747497354,1400.1073333333331,-0.1140556173525914,14.62,8.741445436359153e-17,21.610000000000003,1.864025390388843e-16,554.1056666666667,-0.0001446051168125,2388.0623333333338,0.0004071190211476,9049.641666666665,-0.007548387096709,1.2999999999999996,1.7230004472950286e-17,47.28266666666666,0.0013570634037821,522.062,0.0043381535038961,2388.0466666666666,0.0005027808676357,8132.631333333332,-0.0214638487207843,8.41161,0.0001153058954394,0.03,3.676857118905996e-19,391.9333333333333,0.0106785317018923,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,38.97266666666667,-0.000934371523915,23.38546,-0.0001143492769744,Mid sensor-3 (Q2)
train_2,2,train,287,1,30,257,True,,,287,True,0.0005266666666666,-2.669632925472763e-06,0.0001033333333333,3.35928809788655e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,641.954,0.0094994438264732,1583.4409999999998,-0.0862447163514845,1396.8336666666669,-0.0239621802002036,14.62,8.741445436359153e-17,21.60833333333333,0.0002202447163516,554.5933333333335,-0.010674082313678,2388.002333333333,-0.000883203559464,9053.294,-0.0433503893214994,1.2999999999999996,1.7230004472950286e-17,47.139333333333326,-0.0006896551724131,522.414,-0.0028609566184645,2387.997,0.0009054505005594,8137.295666666667,-0.0114238042268677,8.388810000000001,-0.0003091212458286,0.03,3.676857118905996e-19,391.23333333333335,-0.0046718576195756,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,39.058,-0.003065628476084,23.438783333333333,-0.0012899443826475,Low sensor-3 (Q1)
train_3,3,train,179,1,30,149,True,,,179,True,-0.0006166666666666,-1.822024471635148e-05,-3.333333333333333e-06,-2.424916573971072e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.2653333333332,-0.0143314794215807,1584.5683333333332,0.0991924360400551,1398.9019999999998,-0.0465761957730581,14.62,8.741445436359153e-17,21.610000000000003,1.864025390388843e-16,554.3403333333333,-0.0063559510567233,2388.0333333333333,-0.0004315906562758,9054.317,-0.0738843159066779,1.2999999999999996,1.7230004472950286e-17,47.22466666666666,0.0010767519466076,522.1563333333332,-0.0021512791991146,2388.0270000000005,-0.0005272525027687,8138.287666666667,-0.0223781979978312,8.408420000000001,-0.0001434482758619,0.03,3.676857118905996e-19,391.5,0.0046718576195765,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,38.98733333333334,0.0008587319243604,23.377786666666665,-0.0007164404894325,Low sensor-3 (Q1)
train_4,4,train,189,1,30,159,True,,,189,True,0.00074,-1.3793103448275851e-05,2.000000000000001e-05,-5.027808676307001e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.4206666666666,0.0013437152391527,1587.5553333333337,0.0867007786429387,1402.562,-0.0685606229143332,14.62,8.741445436359153e-17,21.610000000000003,1.864025390388843e-16,553.9173333333333,0.0107274749722005,2388.0690000000004,0.0004382647386454,9050.746,0.0968676307007476,1.2999999999999996,1.7230004472950286e-17,47.38866666666666,0.0055350389321476,521.8446666666667,0.0020645161290499,2388.0713333333333,0.0010589543937805,8131.909666666667,0.0752102335930378,8.418753333333333,-4.200222469402556e-05,0.03,3.676857118905996e-19,392.3,-0.0251390433815319,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,38.943,-0.0026051167964404,23.33952333333333,-0.0022617352614014,Mid sensor-3 (Q2)
train_5,5,train,269,1,30,239,True,,,269,True,0.0002533333333333,1.672969966629593e-05,-8e-05,-1.1701890989988878e-05,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.0923333333334,0.0007986651835353,1582.9353333333336,-0.2026206896551527,1395.9413333333334,0.1188520578420563,14.62,8.741445436359153e-17,21.607666666666667,-9.566184649606994e-05,554.5956666666666,-0.0066095661846471,2387.996,0.0003025583981969,9066.547666666667,-0.0182758620688219,1.2999999999999996,1.7230004472950286e-17,47.154,-0.0009032258064517,522.537,0.0025962180200258,2387.9970000000003,-0.0004249165739602,8149.079333333333,0.0175439377085737,8.399103333333333,-0.0006559955506117,0.03,3.676857118905996e-19,391.53333333333336,-0.019132369299217,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,39.04666666666666,-0.0047786429365964,23.41690333333333,0.0011010678531701,Low sensor-3 (Q1)
train_6,6,train,188,1,30,158,True,,,188,True,0.00046,1.957730812013336e-06,-2.666666666666668e-05,3.6929922135706424e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.5806666666667,0.0046451612903243,1588.6539999999998,-0.0219799777530305,1407.9686666666666,0.1143537263626456,14.62,8.741445436359153e-17,21.610000000000003,1.864025390388843e-16,553.2246666666667,-0.0004315906562842,2388.128,-4.449388207476558e-06,9041.783333333333,0.0327163515016844,1.2999999999999996,1.7230004472950286e-17,47.53599999999999,-0.001592880978865,521.4706666666666,-0.0034126807563938,2388.1283333333336,0.0005761957730957,8122.039666666666,-0.0478331479421363,8.44182,0.0001212458286984,0.03,3.676857118905996e-19,393.26666666666665,-0.0120133481646228,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,38.84,-0.0014682981090098,23.30729,7.107897664068706e-05,High sensor-3 (Q3)
train_7,7,train,259,1,30,229,True,,,259,True,-0.0006799999999999,2.180200222469397e-06,-1.3333333333333332e-05,2.7141268075639663e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.2106666666667,-0.012894327030034,1585.6893333333328,-0.0784961067852997,1397.7793333333332,0.0562847608453697,14.62,8.741445436359153e-17,21.609333333333336,-0.0001112347052279,554.3086666666666,0.0034972191323782,2388.007,0.0008654060066983,9069.648666666668,0.0636440489433205,1.2999999999999996,1.7230004472950286e-17,47.208666666666666,0.0008987764182424,522.214,0.0050678531701921,2388.006666666666,-0.0008676307007712,8149.232999999999,0.0467385984427492,8.405266666666666,-0.0003035817575083,0.03,3.676857118905996e-19,391.76666666666665,0.0193548387096814,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,38.98866666666665,0.000538375973304,23.40203,-0.0008767296996662,Mid sensor-3 (Q2)
train_8,8,train,150,1,30,120,True,,,150,True,-0.0009033333333333,6.778642936596215e-05,-2.333333333333333e-05,-1.935483870967744e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.7006666666668,-0.0053303670745247,1589.616666666667,-0.0769833147942081,1408.9573333333333,-0.0607252502780789,14.62,8.741445436359153e-17,21.610000000000003,1.864025390388843e-16,553.1363333333334,0.0137285873192407,2388.1306666666665,0.0002625139043142,9043.242,0.017058954393778,1.2999999999999996,1.7230004472950286e-17,47.53933333333334,0.0019354838709681,521.3396666666666,-0.0028898776418228,2388.1310000000003,-0.0004471635150016,8122.786666666667,0.0551946607341949,8.442770000000001,-0.000587830923248,0.03,3.676857118905996e-19,392.8666666666667,-0.0071190211345921,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,38.836,-0.0005116796440488,23.278456666666663,-0.0002637819799777,High sensor-3 (Q3)
train_9,9,train,201,1,30,171,True,,,201,True,-0.0001399999999999,6.135706340378201e-05,-4e-05,8.676307007786436e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.0076666666666,0.0055061179087819,1584.064333333333,0.0177508342603254,1397.4,-0.0673281423804167,14.62,8.741445436359153e-17,21.609666666666666,2.892102335909222e-05,554.5593333333334,-0.0008097886540587,2387.995666666667,-0.0004827586206745,9065.114666666665,0.1285739710788948,1.2999999999999996,1.7230004472950286e-17,47.16466666666667,0.0015439377085656,522.5253333333333,-0.0071457174638486,2387.994333333333,-0.0001268075639511,8146.570333333335,0.0384938820912859,8.394573333333334,-0.000130767519466,0.03,3.676857118905996e-19,391.23333333333335,-0.0189098998887691,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,39.02,0.0007741935483874,23.435700000000008,-0.0017002447163512,Low sensor-3 (Q1)
train_10,10,train,222,1,30,192,True,,,222,True,7.666666666666668e-05,5.139043381535028e-06,0.0001233333333333,-5.317018909899888e-06,100.0,2.125032876280732e-16,518.67,6.134530142535191e-15,642.0800000000002,-0.0007875417130158,1584.9743333333329,0.0247452725250229,1396.4540000000002,0.1508609566184713,14.62,8.741445436359153e-17,21.60833333333333,-6.674082313466748e-06,554.603,0.0154860956618413,2388.0136666666667,0.0004115684093283,9053.196666666665,0.2030122358175583,1.2999999999999996,1.7230004472950286e-17,47.14866666666667,0.0017041156840937,522.3736666666667,-0.0117931034482708,2388.005333333333,-0.0002714126807672,8138.172333333333,-0.0307652947720277,8.394676666666665,0.0001274527252501,0.03,3.676857118905996e-19,391.5,0.0077864293659646,2388.0,-4.808713592318001e-15,100.0,2.125032876280732e-16,39.028333333333336,0.0028364849833152,23.41784333333333,0.0002384204671859,Low sensor-3 (Q1)
